"TimeStep","Velocity:0","Velocity:1","Total Energy","Internal Energy","Temperature","Speed of Sound","Pressure","Total Enthalpy","Mach Number","Density","Points:0","Points:1","Points:2"
119,322.72,-10.863,2.2145e+05,1.6916e+05,235.72,307.76,50319,2.8911e+05,1.05,0.74267,0.70928,0.025197,0
119,325.27,-10.644,2.2166e+05,1.6857e+05,234.9,307.23,49686,2.8909e+05,1.06,0.73603,0.70805,0.016536,0
119,325.28,-10.853,2.2168e+05,1.6858e+05,234.92,307.24,49710,2.8911e+05,1.06,0.73634,0.70803,0.02524,0
119,327.83,-10.644,2.2189e+05,1.6799e+05,234.09,306.7,49076,2.8908e+05,1.07,0.7297,0.7068,0.016579,0
119,327.84,-10.843,2.2191e+05,1.6801e+05,234.11,306.72,49100,2.8911e+05,1.07,0.73,0.70678,0.025282,0
119,289.2,-10.742,2.1865e+05,1.7675e+05,246.29,314.6,58466,2.8935e+05,0.92,0.8268,0.73124,0.01572,0
119,289.19,-11.003,2.1866e+05,1.7675e+05,246.3,314.61,58488,2.8936e+05,0.92,0.82707,0.73118,0.024433,0
119,291.8,-10.718,2.1883e+05,1.7615e+05,245.46,314.07,57801,2.8929e+05,0.93,0.82,0.72869,0.015813,0
119,291.8,-10.991,2.1884e+05,1.7616e+05,245.47,314.07,57824,2.893e+05,0.93,0.82028,0.72866,0.024524,0
119,294.41,-10.695,2.1902e+05,1.7555e+05,244.62,313.53,57136,2.8923e+05,0.94,0.81319,0.72614,0.015905,0
119,294.41,-10.98,2.1903e+05,1.7556e+05,244.64,313.54,57160,2.8925e+05,0.94,0.81349,0.72614,0.024614,0
119,297.02,-10.671,2.192e+05,1.7495e+05,243.79,312.99,56470,2.8918e+05,0.95,0.80639,0.72359,0.015998,0
119,297.02,-10.968,2.1921e+05,1.7496e+05,243.8,313,56495,2.892e+05,0.95,0.8067,0.72362,0.024705,0
119,299.63,-10.647,2.1938e+05,1.7435e+05,242.95,312.45,55805,2.8912e+05,0.96,0.79959,0.72103,0.016091,0
119,299.63,-10.956,2.194e+05,1.7436e+05,242.97,312.47,55831,2.8914e+05,0.96,0.7999,0.7211,0.024795,0
